start	end	text
982540	983720	un ou plusieurs concurrents
983720	984620	qui ont plus de 1000 produits
984620	986460	qui ont des dizaines de backlinks
986460	987200	voire des centaines
987200	987780	qui ont des milliers
987780	988700	de trafics mensuels
988700	990400	enfin c'est beaucoup plus décourageant
990400	991820	que de juste recopier une boutique
991820	993040	monoproduit Facebook Ads
993040	994020	en ajoutant un produit
994020	994860	et la boutique va prendre
994860	995560	une journée à construire
995560	996200	là l'idée ici
996200	996780	c'est de construire
996780	997960	des vrais shops solides
997960	998860	avec des milliers de produits
998860	999740	de le sécuriser
999740	1000440	avec un SEO
1000440	1001500	qui va être intouchable
1001500	1002320	et donc tu vas forcément
1002320	1003600	faire fuir toutes les personnes
1003600	1004640	qui seraient un peu mal attentionnées
1004640	1005880	qui voudraient recopier ta boutique
1005880	1006600	d'une pierre de goût
1006600	1007000	tout simplement
1007000	1007760	donc voilà on a vu
1007760	1008840	tous les points importants
1008840	1009680	concernant la stratégie
1009680	1010240	de drop elite
1010240	1011360	je te propose qu'on enchaîne
1011360	1011900	tout de suite
1011900	1012980	avec la suite de la formation
1012980	1013660	à tout de suite
